Sample_ID;LATf;LONGf;Reference;LATi;LONGi;SiO2;MgO;TiO2;Al2O3;Fe2O3t;MnO;CaO;Na2O;K2O;P2O5;LOI;Fe2O3;FeO;Ba;Rb;Sr;Itrio;Zr;Ti
B462;-26.419;-51.408;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,419;-51,408;51.35;4.55;1.45;14.36;12.404;0.21;9.26;2.89;1;0.19;0.96;4.36;8.48;212;33;171.4;35;124;8692.91
B501;-26.586;-51.081;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,586;-51,081;49.54;6.03;1.4;14.47;12.044;0.2;10.34;2.55;0.72;0.18;1.19;5.56;7.04;174;22.9;163.1;31;112;8393.15
B505;-26.669;-50.997;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26,669;-50,997;48.28;5.7;1.49;14.92;12.604;0.22;10.93;2.55;0.42;0.18;1.31;4.66;8.41;184;8.61;197;27;114;8932.71
B510;-26.76;-51.161;"Piccirillo and Melfi, 1988; Marques et al., 1999";-26.76;-51,161;51.3;5.34;1.47;14.08;12.179;0.2;9.49;2.36;1.07;0.19;0.98;4.51;8.12;228;34;166.8;29;129;8812.81
B557;-25.411;-51.285;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25,411;-51,285;48.8;5.01;1.49;14.94;13.158;0.24;10.55;2.86;0.35;0.2;0.94;5.32;8.37;190;21.1;182;37;108;8932.71
GB254;-25;-51;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25;-51;51.7;4.24;2.02;14.3;14.22;0.22;9.49;2.84;0.72;0.25;0;0;;364;35;288;35;160;12110.12
SB339;-29.472;-51.353;"Piccirillo and Melfi, 1988; Marques et al., 1999";-29,472;-51,353;49.91;7.84;1.04;15.11;10.077;0.16;10.56;1.81;0.87;0.19;1.31;4.43;6.09;216;26;225;21;112;6234.91
SB346;-29.335;-51.416;"Piccirillo and Melfi, 1988; Marques et al., 1999";-29,335;-51,416;52.27;4.84;1.27;15.45;10.422;0.16;9.07;2.44;1.45;0.23;1.24;4.38;6.48;347;43;239;29;169;7613.79
DUP38;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;56.14;3.26;1.68;13.19;13.54;0.19;6.39;2.81;2.57;0.24;0.44;;;461;86;211;44;220;10071.78
DUP30;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;50.89;7.99;0.95;14.92;10.34;0.17;11.61;2.44;0.51;0.16;0.9;;;243;10;216;23;92;5695.35
DUP27;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;53.77;4.2;1.74;13.49;14.05;0.21;8.29;3.19;0.79;0.27;1.21;;;499;57;301;39;205;10431.49
DUP26;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;54.01;4.31;1.64;13.38;13.69;0.18;8.77;2.64;1.12;0.26;1.4;;;470;45;269;37;192;9831.98
DUP25;-28.08;-49.62;Peate and Hawkesworth, 1996;-28.08;-49.62;52.84;4.99;1.61;13.78;13.62;0.21;8.92;2.97;0.81;0.25;1.05;;;416;42;266;36;176;9652.13
DUP08;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;52.66;5.6;1.37;14.34;12.42;0.19;9.22;2.82;1.14;0.23;0.88;;;353;28;287;30;149;8213.3
DUP09;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.25;5.23;1.35;14.14;11.83;0.19;9.03;2.54;1.22;0.21;0.86;;;317;39;352;30;148;8093.4
DUP10;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.49;5.09;1.36;13.85;11.95;0.18;8.67;2.75;1.42;0.23;0.73;;;389;36;294;31;156;8153.35
DUP14;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.28;4.55;1.58;13.52;13.25;0.17;8.73;2.38;1.3;0.24;1.07;;;483;48;321;36;179;9472.27
DUP15;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;51.74;4.94;1.67;14.09;14.24;0.23;9.32;2.57;0.97;0.25;1.47;;;417;35;299;41;190;10011.83
DUP16;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.24;4.92;1.61;13.66;13.54;0.21;8.65;2.58;1.36;0.23;0.62;;;419;38;263;41;178;9652.13
DUP17;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.13;4.77;1.61;13.61;13.59;0.2;9.02;2.71;1.16;0.22;0.91;;;354;38;267;34;178;9652.13
DUP18;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;54.46;4.42;1.6;13.38;13.47;0.2;7.81;2.65;1.78;0.22;0.45;;;436;48;219;38;187;9592.18
DUP21;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;52.41;4.59;1.83;14.05;14.45;0.23;8.94;2.39;0.84;0.28;1.76;;;429;25;367;45;222;10971.05
DUP22;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.86;4.38;1.65;13.58;13.46;0.19;7.99;2.95;1.64;0.31;0.83;;;471;52;252;39;193;9891.93
DUP24;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;53.27;4.95;1.62;13.63;13.65;0.21;8.68;2.56;1.21;0.23;0.5;;;423;26;294;35;177;9712.08
DSM19;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;53.44;4.56;1.65;13.65;13.59;0.2;8.54;2.58;1.56;0.24;0.14;;;358;43;247;37;184;9891.93
DSM18;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;52.67;5.18;1.47;13.95;13.36;0.2;9.37;2.74;0.8;0.24;0.45;;;321;19;321;33;159;8812.81
DSM15;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.49;4.68;1.45;13.67;12.6;0.2;8.58;2.84;1.27;0.22;1.47;;;385;67;284;38;154;8692.91
DSM14;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.5;4.9;1.34;13.93;12.22;0.19;8.8;2.62;1.28;0.23;1.07;;;359;49;220;32;150;8033.45
DSM13;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.08;3.89;1.74;13.27;14.25;0.21;8.26;2.76;1.26;0.29;1.26;;;367;60;258;39;177;10431.49
DSM12;-28.12;-49.46;Peate and Hawkesworth, 1996;-28.12;-49.46;54.48;5.01;1.34;13.78;12.26;0.19;8.69;2.82;1.17;0.24;0.94;;;344;41;232;30;147;8033.45
DSM11;-28.115;-49.463;Peate and Hawkesworth, 1996;-28,115;-49,463;54.26;3.97;1.73;13.36;14.29;0.22;8.18;2.06;1.61;0.32;1.94;;;324;51;234;39;180;10371.54
DGB05;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;54.29;4.35;1.47;13.91;12.98;0.2;8.16;2.74;1.68;0.21;0.45;;;536;57;232;37;195;8812.81
DGB08;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.61;5.37;1.04;15.77;11.63;0.17;9.56;2.48;1.24;0.12;0.33;;;316;41;222;26;124;6234.91
DGB43;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.58;6.98;0.97;14.56;10.99;0.17;10.29;2.46;0.89;0.12;1.53;;;226;19;266;22;97;5815.26
DGB27;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;54.77;4.26;1.65;13.36;13.49;0.19;8.32;2.48;1.22;0.24;1.16;;;259;31;276;34;171;9891.93
DGB21;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;53.21;4.32;1.82;13.34;14.72;0.19;8.34;2.84;0.96;0.26;1.48;;;486;41;291;37;204;10911.1
DGB20;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;53.62;4.31;1.7;13.67;13.97;0.2;8.37;2.89;1.02;0.24;1.16;;;431;51;260;38;197;10191.69
DGB19;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;52.96;4.73;1.63;13.8;13.74;0.21;8.86;2.69;1.14;0.23;0.94;;;388;39;259;35;178;9772.03
DGB18;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;55.8;3.6;1.76;13.63;13.03;0.18;6.26;3.04;2.42;0.28;0.56;;;494;86;177;43;223;10551.39
DGB15;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;57.18;3.18;1.73;13.59;12.5;0.19;6.43;2.63;2.29;0.28;1.09;;;500;69;187;44;235;10371.54
DGB11;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;51.48;5.76;1.34;14.45;13.51;0.2;10.29;2.36;0.43;0.19;1.7;;;336;10;212;29;130;8033.45
DGB10;-28.36;-49.6;Peate and Hawkesworth, 1996;-28.36;-49.6;53.96;4.86;1.4;13.95;13.04;0.18;8.73;2.52;1.18;0.18;1.01;;;357;33;229;32;144;8393.15
PAR13;-29.13;-58.32;Peate and Hawkesworth, 1996;-29.13;-58.32;54.63;3.54;1.79;12.95;14.63;0.24;7.27;2.98;1.71;0.25;0.23;;;376;63;217;41;183;10731.25
PAR14;-29.13;-58.32;Peate and Hawkesworth, 1996;-29.13;-58.32;55.14;3.05;1.93;12.75;14.9;0.21;6.66;3.01;2.05;0.3;0.4;;;403;77;206;46;213;11570.56
PAR15;-29.13;-58.32;Peate and Hawkesworth, 1996;-29.13;-58.32;55.56;3.15;1.75;12.82;14.33;0.24;6.96;3.09;1.83;0.26;0.14;;;401;68;207;41;191;10491.44
CS930;-24.98;-51.94;Peate and Hawkesworth, 1996;-24.98;-51.94;53.86;4.5;1.58;13.66;13.39;0.2;8.34;2.86;1.36;0.25;0.37;;;395;34;272;37;185;9472.27
B208;-25.345;-51.369;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-25,345;-51,369;48.12;6.24;1.57;14.59;12.991;0.22;10.88;2.44;0.33;0.23;0.95;5.09;8.41;134;11;194;35;109;9412.32
B418;-25.733;-52.249;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-25,733;-52,249;48.89;6.34;1.29;15.31;11.519;0.19;11.1;2.53;0.2;0.13;1.23;4.51;7.46;58;10.7;142.3;21;62;7733.69
B448;-25.963;-51.604;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-25,963;-51,604;48.63;6.33;1.51;15.05;11.686;0.2;11.41;2.6;0.17;0.16;0.97;4.14;7.96;59;9;154;28;78;9052.62
B509;-26.767;-51.121;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-26,767;-51,121;48.37;4.82;1.5;15.75;12.606;0.21;10.82;2.65;0.35;0.16;1.37;5.74;7.44;133;5.46;197;26;104;8992.67
B3064;-27.444;-56.732;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-27,444;-56,732;47.97;6.3;1.44;14.79;12.54;0.24;11.36;2.42;0.15;0.15;1.26;4.9;8.13;71.9;9;160;28;76;8632.96
B3006;-25.43;-55.117;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012";-25.43;-55,117;49;7.12;1.31;14.51;11.505;0.16;10.92;2.19;0.33;0.14;1.53;6.25;5.88;87.9;14.85;163;27;73;7853.59
DUP19;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;51.23;5.99;1.39;13.56;13.77;0.2;10.53;2.62;0.56;0.16;0.14;;;208;22;165;31;101;8333.2
DUP23;-28.14;-49.66;Peate and Hawkesworth, 1996;-28.14;-49.66;50.91;6.09;1.4;13.8;13.77;0.22;10.54;2.58;0.55;0.16;-0.06;;;187;20;165;30;102;8393.15
KS729;22.273;54.818;Rocha-Júnior et al., 2020;22.273;54.818;51.18;4.78;2.6;13.27;13.57;0.2;9.1;2.32;1.19;0.33;0.82;15.08;;424;27;283;42;210;15587.29
KS740;20.455;54.75;Rocha-Júnior et al., 2020;20.455;54.75;50.77;5.68;1.83;13.43;12.61;0.2;10.18;2.31;0.89;0.21;1.34;14.01;;271;20;279;28;136;10971.05
KS829;18.549;53.127;Rocha-Júnior et al., 2020;18.549;53.127;49.93;6.16;1.73;13.41;12.2;0.21;9.91;2.12;0.73;0.2;1.2;13.56;;266.5;17.7;286;29.8;124.1;10377.27
KS831;17.857;53.127;Rocha-Júnior et al., 2020;17.857;53.127;49.99;6.35;1.71;13.39;12.35;0.2;10.29;2.1;0.72;0.19;0.67;13.73;;260.1;15.4;284.1;27.1;119.3;10260.1
KS835;19.867;54.368;Rocha-Júnior et al., 2020;19.867;54.368;49.82;5.12;1.99;12.77;13.55;0.21;9.15;2.28;0.91;0.23;1.49;15.05;;319.6;21.7;260.6;35.3;149.2;11959.14
KS836;19.887;54.423;Rocha-Júnior et al., 2020;19.887;54.423;49.18;6.31;1.63;13.03;12.05;0.19;10;2.06;0.99;0.18;2.14;13.39;;233.5;25.1;272.3;31.4;111.1;9792.17
B187;23.177;50.622;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2012; 2020";23.177;50.622;50.13;4.84;1.88;14.8;11.95;0.18;10.22;2.22;0.49;0.27;1.68;4.92;7.52;336;11;330;26;137;11270.81
B189;23.186;50.662;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2012; 2020";23.186;50.662;49.31;5.16;1.76;15.36;12;0.18;10.54;2.33;0.62;0.25;1.14;4.87;7.62;323;12;323;20;126;10551.39
B192;-23.227;-50.863;"Petrini et al., 1987; Piccirillo and Melfi, 1988; Marques et al., 1999";-23,227;-50,863;49.53;4.88;1.86;15.03;12.23;0.19;10.39;2.51;0.81;0.28;0.92;4.4;8.27;333;15;312;23;135;11150.9
B194;23.291;51.088;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2020";23.291;51.088;50.99;4.59;1.97;14.21;12.69;0.19;9.16;2.57;1.01;0.38;1.03;2.84;10.13;412;22;248;34;157;11810.37
B196;-23.355;-51.157;"Piccirillo and Melfi, 1988; Marques et al., 1999; Rocha-Júnior et al., 2012; 2020";-23,355;-51,157;49.38;5.99;1.47;15.05;11.01;0.17;10.52;2.39;0.93;0.22;1.65;4.86;6.64;314;19;284;56;111;8812.81
B197;23.491;51.128;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2012; 2020";23.491;51.128;49.39;6.03;1.58;14.77;11.46;0.18;9.94;2.34;1.02;0.29;1.71;4.09;7.78;491;18;291;28;133;9472.27
B199;23.664;51.157;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2020";23.664;51.157;50.61;3.61;1.92;16.75;10.73;0.15;9.62;2.78;1.01;0.36;1.28;3.32;7.74;469;19;369;22;153;11510.61
B412;25.708;52.217;"Petrini et al., 1987; Piccirilo and Melfi, 1988";25.708;52.217;50.17;5.32;1.91;14.36;12.26;0.19;9.83;2.09;0.82;0.27;1.43;4.56;8.16;356;18;317;25;143;11450.66
B980;-21.593;-54.421;"Petrini et al., 1987; Piccirillo and Melfi, 1988; Marques et al., 1999";-21,593;-54,421;49.12;5.49;1.54;15.22;11.62;0.19;10.42;2.45;0.57;0.2;1.91;3.25;8.69;272;13;273;25;110;9232.47
B983;-22.038;-54.714;"Piccirillo and Melfi, 1988; Piccirillo et al., 1989; Marques et al., 1999";-22,038;-54,714;49.1;5.72;1.57;15.06;11.88;0.21;10.22;2.32;0.66;0.2;1.74;3.99;8.29;260;14;270;27;112;9412.32
B987;-22.402;-55.632;"Piccirillo and Melfi, 1988; Piccirillo et al., 1989; Marques et al., 1999";-22,402;-55,632;49.78;5.52;1.59;14.65;11.95;0.19;10.12;2.42;0.73;0.21;1.52;4.65;7.76;385;17;273;32;125;9532.22
B1006;20.436;51.496;"Piccirilo and Melfi, 1988; Rocha-Júnior et al., 2020";20.436;51.496;48.87;5.29;2;14.04;13.06;0.19;9.67;2.43;1.08;0.23;1.68;6.09;7.58;310;25;282;31;141;11990.22
DGB09;-28.36;-49.6;Peate et al., 1999;-28.36;-49.6;52.55;4.22;3.59;13.74;12.48;0.15;7.73;2.78;2.24;0.52;0.56;;;573;57;649;37;305;21522.44
DGB39;-28.36;-49.6;Peate et al., 1999;-28.36;-49.6;51.88;4.5;3.79;13;13.28;0.17;8.57;2.52;1.77;0.52;0.25;;;575;26;765;35;324;22721.47
DUP01;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;51.37;4.8;3.89;13.14;13.33;0.18;9.15;2.5;0.93;0.54;1.39;;;592;11;894;39;313;23320.98
DUP02;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;50.53;4.87;3.89;13.48;13.6;0.18;8.9;2.85;1.19;0.52;1.98;;;732;27;977;43;325;23320.98
DUP03;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;50.29;4.99;3.95;13.2;14.03;0.18;8.86;2.6;1.39;0.51;1.8;;;562;26;830;39;314;23680.68
DUP07;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;49.73;4.93;3.74;13.92;13.45;0.16;8.93;2.69;1.95;0.5;1.65;;;592;30;811;40;307;22421.71
DUP05;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;52.2;4.35;3.55;13.39;13.09;0.18;8.05;2.68;1.92;0.6;0.75;;;746;32;832;38;318;21282.64
DAB08;-27.9;-49.58;Peate et al., 1999;-27.9;-49.58;51.7;4.63;3.6;13.41;12.64;0.16;8.37;3.19;1.78;0.52;0.08;;;698;38;724;44;300;21582.4
DUP04;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;53;4.01;3.51;13.38;12.76;0.16;7.39;3.06;2.13;0.6;0.87;;;686;34;697;40;326;21042.84
DUP06;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;53.52;4.06;3.56;13.26;12.87;0.17;7.45;2.49;2.06;0.54;0.86;;;690;34;661;39;322;21342.59
DAB10;-27.9;-49.58;Peate et al., 1999;-27.9;-49.58;52.83;4;3.6;13.24;13.02;0.16;6.91;3.61;2;0.63;0.89;;;817;43;670;44;335;21582.4
DGB25;-28.36;-49.6;Peate et al., 1999;-28.36;-49.6;53.74;3.73;3.68;12.94;12.94;0.18;7.26;2.66;2.31;0.56;0.48;;;816;47;734;39;351;22062
DUP46;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.4;4.41;3.46;12.93;12.86;0.16;7.77;3.64;1.83;0.51;0.82;;;457;43;619;39;301;20743.08
DSM37;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;52.53;4.53;3.52;13.49;12.68;0.16;7.55;3.08;1.9;0.57;0.26;;;785;44;637;40;310;21102.79
DSM36;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;52.48;4.51;3.52;13.42;12.81;0.17;7.69;2.99;1.88;0.53;0.06;;;701;42;613;40;313;21102.79
DUP44;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.51;5.3;3.36;13.19;12.93;0.19;8.49;2.89;1.68;0.45;0.91;;;794;40;652;39;269;20143.57
DUP43;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;50.99;5.33;3.34;13.3;12.89;0.17;9.29;2.78;1.43;0.47;0.56;;;437;23;711;35;269;20023.67
DSM35;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.61;5.38;3.39;13.46;12.67;0.17;8.53;2.74;1.56;0.49;0.7;;;503;31;674;38;268;20323.42
DUP42;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.54;4.88;3.35;13.66;12.48;0.16;8.73;2.83;1.92;0.46;0.27;;;525;38;664;34;271;20083.62
DSM34;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.48;4.67;3.4;13.75;13.25;0.19;8.32;3.08;1.38;0.47;0.85;;;709;29;820;34;272;20383.37
DSM33;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;50.44;4.86;3.44;14.13;12.97;0.18;8.86;2.91;1.2;0.48;1.06;;;736;19;863;37;277;20623.18
DUP40;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;52.04;5.05;3.5;13.16;12.8;0.18;8.85;2.5;1.46;0.47;1.08;;;572;21;809;34;275;20982.89
DSM31;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.84;4.96;3.6;13.43;12.61;0.19;8.32;2.89;1.64;0.53;1.1;;;743;31;706;39;278;21582.4
DAB12;-27.9;-49.58;Peate et al., 1999;-27.9;-49.58;51.62;4.92;3.51;13.35;12.79;0.18;8.58;2.78;1.76;0.51;0.08;;;645;38;701;39;305;21042.84
DW21;-28.07;-49.3;Peate et al., 1999;-28.07;-49.3;52;4.83;3.62;13.11;12.86;0.16;8.15;3.1;1.69;0.48;0.49;;;502;36;602;35;279;21702.3
DUP37;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;52.93;4.81;3.55;13.02;12.5;0.16;8.2;2.63;1.7;0.5;1;;;574;47;745;36;284;21282.64
DSM30;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.74;5.01;3.61;13.22;12.87;0.17;8.28;2.89;1.71;0.49;0.26;;;551;36;657;37;279;21642.35
DSM29;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.41;5.14;3.57;13.43;12.63;0.17;8.38;3.17;1.57;0.55;0.96;;;550;33;699;36;282;21402.54
DSM40;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.66;4.71;3.62;13.27;13.13;0.17;8.42;2.79;1.72;0.49;0.69;;;600;36;764;36;300;21702.3
DUP35;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;53.01;4.34;3.76;12.86;12.68;0.19;8.3;2.57;1.7;0.58;0.26;;;600;30;764;39;307;22541.61
DUP36;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;52.27;4.65;3.75;13.16;13.1;0.17;7.93;2.66;1.8;0.51;0.57;;;576;39;673;40;305;22481.66
DUP34;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;52.85;4.36;3.8;13.12;13.01;0.19;8.31;2.7;1.11;0.56;1.05;;;682;47;882;38;309;22781.42
DUP33;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;52.35;4.5;3.79;12.96;13.25;0.16;8.38;2.68;1.35;0.59;1.06;;;609;20;829;41;312;22721.47
DUP12;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;51.08;4.65;3.72;13.13;14.04;0.17;8.23;2.56;1.83;0.59;0.94;;;608;41;706;38;311;22301.81
DSM27;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;52.64;4.5;3.76;12.91;13.09;0.15;8.48;2.23;1.72;0.52;1.21;;;519;38;951;37;300;22541.61
DSM41;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.87;4.6;3.88;13.48;12.98;0.16;8.33;2.41;1.77;0.53;1.54;;;670;45;1050;44;307;23261.03
DW24;-28.07;-49.3;Peate et al., 1999;-28.07;-49.3;51.79;4.48;3.74;13.54;13.45;0.19;8.02;2.61;1.68;0.49;0.63;;;615;24;832;38;298;22421.71
DSM24;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;54.93;3.18;2.95;13.94;11.53;0.17;6.44;3.29;2.86;0.7;0.5;;;776;72;552;48;391;17685.57
DUP32;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.35;4.4;4.21;12.87;13.83;0.19;7.68;2.67;2.22;0.58;0.1;;;673;44;737;41;326;25239.41
DUP31;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.23;4.53;4.15;12.96;14.02;0.18;8.67;2.62;1.08;0.55;1.1;;;684;21;884;42;328;24879.71
DUP11;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;51.2;4.5;4.13;12.98;14.16;0.17;8.99;2.3;1;0.58;1.94;;;628;21;840;40;328;24759.8
DUP13;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;51.38;4.35;4.16;12.71;13.94;0.19;8.37;3.13;1.21;0.56;1.26;;;753;39;892;46;326;24939.66
DUP29;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.44;4.29;4.2;12.91;13.57;0.19;8.24;3.25;1.31;0.6;0.96;;;718;46;930;40;339;25179.46
DUP28;-28.08;-49.62;Peate et al., 1999;-28.08;-49.62;51.42;4.42;4.2;12.92;13.49;0.17;8.33;2.98;1.47;0.59;0.72;;;715;41;875;38;330;25179.46
DUP20;-28.14;-49.66;Peate et al., 1999;-28.14;-49.66;51.23;4.39;4.33;13.13;13.5;0.17;8.07;2.72;1.88;0.58;0.33;;;732;43;833;42;344;25958.83
DSM22;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.34;4.35;4.23;13.14;13.4;0.16;7.87;2.89;2.03;0.59;0.83;;;615;47;707;39;336;25359.32
DSM21;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.49;4.32;4.21;13.17;13.43;0.17;7.27;3.05;2.29;0.6;1.76;;;727;59;608;41;339;25239.41
DSM17A;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.83;4.12;4.16;13.07;13.39;0.16;7.62;2.91;2.11;0.61;0.91;;;707;43;789;40;343;24939.66
DSM17B;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;52.35;4.06;4.15;13.1;13.36;0.17;7.85;2.5;1.84;0.62;0.91;;;738;31;879;41;351;24879.71
DRR06;-27.91;-51.913;Peate et al., 1999;-27.91;-51913;53.09;4.03;4.04;12.64;13;0.16;7.27;2.82;2.36;0.6;0.49;;;691;41;662;39;346;24220.24
DSM16;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.28;4.45;3.88;13.33;13.36;0.17;8.18;3.17;1.64;0.57;0.62;;;630;37;869;38;312;23261.03
DSM10;-28.115;-49.463;Peate et al., 1999;-28115;-49463;51.25;4.56;3.66;13.71;13.2;0.17;8.4;2.95;1.54;0.55;0.73;;;592;58;826;36;306;21942.1
DSM05B;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.56;4.3;3.51;13.24;13.87;0.19;8.01;3.01;1.8;0.51;0.75;;;595;45;701;37;272;21042.84
DSM07;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.61;4.21;3.48;13.32;14.15;0.17;7.93;2.72;1.87;0.53;1.65;;;570;47;690;39;282;20862.98
DSM09;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;51.43;4.37;3.49;13.32;14.05;0.17;8.04;2.94;1.71;0.5;0.86;;;563;41;372;36;259;20922.93
DSM04;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;59.78;2.05;2.01;14.06;9.2;0.14;4.11;3.84;4.12;0.7;0.87;;;1137;113;687;48;482;12050.17
DSM08;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;59.96;1.92;2.03;13.86;9.38;0.15;4.11;3.89;4.01;0.69;0.88;;;1115;109;600;50;499;12170.07
DAB01;-27.9;-49.58;Peate et al., 1999;-27.9;-49.58;51.4;4.63;3.67;13.52;13.02;0.17;7.48;3.53;2.05;0.51;1.36;;;661;51;811;39;309;22002.05
DSM26;-28.12;-49.46;Peate et al., 1999;-28.12;-49.46;52.1;4.39;3.41;13.89;12.18;0.17;8.39;2.77;1.87;0.46;1.4;;;579;39;783;36;295;20443.33
DW22;-28.35;-49.32;Peate et al., 1999;-28.35;-49.32;50.85;4.47;3.57;13.14;14.5;0.19;8.04;2.94;1.78;0.53;0.39;;;630;55;588;38;279;21402.54
ST931;-27.35;-48.26;Peate et al., 1999;-27.35;-48.26;51.43;4.15;4.13;13.28;13.67;0.17;8.09;2.55;1.92;0.61;0.46;;;709;40;786;42;352;24759.8
